drug,gene,label,drug_new_id,gene_new_id,label
DB11134,10926,-1,373,6455,-1
DB11134,4601,1,373,2650,1
DB11134,10781,1,373,6377,1
DB11134,3320,1,373,1994,1
DB11134,580,-1,373,362,-1
DB11134,9133,-1,373,5238,-1
DB11134,79817,-1,373,10054,-1
DB11134,545,-1,373,343,-1
DB11134,1475,1,373,940,1
DB11134,2202,-1,373,1389,-1
DB11134,9585,-1,373,5522,-1
DB11134,23061,-1,373,6893,-1
DB11134,7556,1,373,4531,1
DB11134,4430,-1,373,2602,-1
DB11134,146909,-1,373,10734,-1
DB11134,4609,-1,373,2657,-1
DB11134,3298,1,373,1982,1
DB11134,7153,-1,373,4301,-1
DB11134,374,-1,373,244,-1
DB11134,29899,-1,373,7870,-1
DB11134,10782,1,373,6378,1
DB11134,10202,1,373,5971,1
DB11134,55466,1,373,8907,1
DB11134,4097,1,373,2442,1
DB11134,26040,-1,373,7491,-1
DB11134,4501,1,373,2621,1
DB11134,162972,1,373,10771,1
DB11134,1031,-1,373,677,-1
DB11134,5252,1,373,3068,1
DB11134,51606,1,373,8292,1
DB11134,3188,1,373,1919,1
DB11134,170960,1,373,10781,1
DB11134,23237,1,373,7028,1
DB11134,4603,-1,373,2652,-1
DB11134,10112,-1,373,5906,-1
DB11134,665,1,373,417,1
DB11134,8812,1,373,5049,1
DB11134,79813,-1,373,10050,-1
DB11134,7767,1,373,4595,1
DB11134,677,-1,373,428,-1
DB11134,9212,-1,373,5291,-1
DB11134,163131,1,373,10772,1
DB11134,6648,1,373,3978,1
DB11134,23099,1,373,6922,1
DB11134,2064,-1,373,1303,-1
DB11134,1289,-1,373,817,-1
DB11134,51129,-1,373,8066,-1
DB11134,23471,-1,373,7193,-1
DB11134,23462,1,373,7186,1
DB11134,10520,1,373,6199,1
DB11134,2295,-1,373,1446,-1
DB11134,528,1,373,336,1
DB11134,5626,1,373,3323,1
DB11134,51700,1,373,8324,1
DB11134,1054,1,373,694,1
DB11134,538,1,373,340,1
DB11134,10514,-1,373,6195,-1
DB11134,1282,-1,373,811,-1
DB11134,6102,1,373,3614,1
DB11134,6711,-1,373,4023,-1
DB11134,81930,-1,373,10394,-1
DB11134,29127,-1,373,7840,-1
DB11134,79132,1,373,9839,1
DB11134,4919,-1,373,2864,-1
DB11134,11001,-1,373,6503,-1
DB11134,23276,1,373,7061,1
DB11134,8731,1,373,4994,1
DB11134,5154,-1,373,3005,-1
DB11134,1058,-1,373,695,-1
DB11134,10808,1,373,6394,1
DB11134,4116,1,373,2452,1
DB11134,5681,-1,373,3357,-1
DB11134,6397,1,373,3796,1
DB11134,4496,1,373,2619,1
DB11134,3310,1,373,1990,1
DB11134,22974,-1,373,6830,-1
DB11134,2959,1,373,1772,1
DB11134,6322,1,373,3746,1
DB11134,2730,1,373,1621,1
DB11134,7422,1,373,4458,1
DB11134,9918,-1,373,5771,-1
DB11134,1021,-1,373,668,-1
DB11134,143,-1,373,88,-1
DB11134,26353,1,373,7581,1
DB11134,57180,-1,373,9338,-1
DB11134,9518,1,373,5474,1
DB11134,2669,1,373,1592,1
DB11134,7633,1,373,4548,1
DB11134,9958,1,373,5803,1
DB11134,64786,1,373,9691,1
DB11134,10049,1,373,5861,1
DB11134,1690,-1,373,1075,-1
DB11134,1191,1,373,771,1
DB11134,2354,1,373,1485,1
DB11134,7554,1,373,4529,1
DB11134,9969,1,373,5810,1
DB11134,597,-1,373,373,-1
DB11134,7702,1,373,4564,1
DB11134,4495,1,373,2618,1
DB11134,9833,-1,373,5706,-1
DB11134,8178,1,373,4706,1
DB11134,51585,1,373,8282,1
DB11134,8971,-1,373,5146,-1
DB11134,26994,1,373,7632,1
DB11134,113251,1,373,10626,1
DB11134,678,-1,373,429,-1
DB11134,8233,1,373,4723,1
DB11134,5783,-1,373,3433,-1
DB11134,466,1,373,297,1
DB11134,3337,1,373,1999,1
DB11134,6018,1,373,3593,1
DB11134,2353,1,373,1484,1
DB11134,8013,1,373,4661,1
DB11134,3669,1,373,2166,1
DB11134,4175,-1,373,2496,-1
DB11134,11078,-1,373,6559,-1
DB11134,7739,-1,373,4580,-1
DB11134,9412,1,373,5405,1
DB11134,7270,1,373,4359,1
DB11134,4616,1,373,2661,1
DB11134,26235,-1,373,7555,-1
DB11134,57335,1,373,9356,1
DB11134,51382,1,373,8207,1
DB11134,3652,-1,373,2153,-1
DB11134,26959,1,373,7626,1
DB11134,8941,1,373,5141,1
DB11134,1515,1,373,967,1
DB11134,3164,1,373,1903,1
DB11134,6721,1,373,4031,1
DB11134,9787,-1,373,5673,-1
DB11134,4299,1,373,2559,1
DB11134,3667,-1,373,2165,-1
DB11134,7533,-1,373,4515,-1
DB11134,5325,-1,373,3122,-1
DB11134,10658,1,373,6307,1
DB11134,3148,-1,373,1892,-1
DB11134,3985,-1,373,2368,-1
DB11134,2048,-1,373,1289,-1
DB11134,546,-1,373,344,-1
DB11134,7402,-1,373,4442,-1
DB11134,23380,-1,373,7138,-1
DB11134,1027,-1,373,673,-1
DB11134,4001,-1,373,2378,-1
DB11134,1390,1,373,883,1
DB11134,4772,1,373,2767,1
DB11134,113457,-1,373,10628,-1
DB11134,3833,-1,373,2280,-1
DB11134,891,-1,373,565,-1
DB11134,80012,1,373,10169,1
DB11134,10403,-1,373,6115,-1
DB11134,4502,1,373,2622,1
DB11134,221981,-1,373,10838,-1
DB11134,6016,1,373,3592,1
DB11134,991,-1,373,640,-1
DB11134,51362,1,373,8192,1
DB11134,9493,-1,373,5457,-1
DB11134,10745,1,373,6356,1
DB11134,7776,1,373,4601,1
DB11134,7559,1,373,4532,1
DB11134,4494,1,373,2617,1
DB11134,7673,1,373,4552,1
DB11134,10914,1,373,6446,1
DB11134,51512,-1,373,8254,-1
DB11134,9232,-1,373,5302,-1
DB11134,55145,1,373,8743,1
DB11134,3364,1,373,2013,1
DB11134,9925,1,373,5778,1
DB11134,667,-1,373,419,-1
DB11134,55290,1,373,8848,1
DB11134,9603,-1,373,5533,-1
DB11134,84124,1,373,10449,1
DB11134,169611,-1,373,10779,-1
DB11134,83744,1,373,10431,1
DB11134,55602,1,373,8943,1
DB11134,11098,-1,373,6569,-1
DB11134,50486,-1,373,7942,-1
DB11134,4189,1,373,2501,1
DB11134,1112,1,373,718,1
DB11134,7042,-1,373,4216,-1
DB11134,113835,1,373,10631,1
DB11134,6286,1,373,3725,1
DB11134,526,1,373,334,1
DB11134,84722,-1,373,10487,-1
DB11134,57761,1,373,9431,1
DB11134,8559,1,373,4886,1
DB11134,51147,1,373,8077,1
DB11134,1185,1,373,768,1
DB11134,23363,-1,373,7126,-1
DB00648,5573,-1,115,3277,-1
DB00648,57761,1,115,9431,1
DB00648,1589,-1,115,1009,-1
DB00648,1584,1,115,1004,1
DB00648,7040,-1,115,4214,-1
DB00648,6240,1,115,3698,1
DB00648,3283,-1,115,1973,-1
DB00648,5270,1,115,3080,1
DB00648,1586,-1,115,1006,-1
DB00648,1327,-1,115,843,-1
DB00648,1576,1,115,998,1
DB00648,6770,-1,115,4063,-1
DB03796,4501,-1,273,2621,-1
DB03796,5054,1,273,2939,1
DB03796,57817,1,273,9438,1
DB03796,3651,-1,273,2152,-1
DB03796,2876,-1,273,1711,-1
DB03796,3576,1,273,2098,1
DB03796,3034,1,273,1822,1
DB03796,10891,1,273,6431,1
DB03796,4496,-1,273,2619,-1
DB03796,4493,-1,273,2616,-1
DB03796,6401,1,273,3800,1
DB03796,4502,-1,273,2622,-1
DB03796,1906,1,273,1196,1
DB03796,9619,1,273,5544,1
DB03796,29893,1,273,7867,1
DB03796,4843,1,273,2814,1
DB08846,3162,1,338,1901,1
DB08846,5320,-1,338,3118,-1
DB08846,8490,-1,338,4831,-1
DB08846,5799,1,338,3448,1
DB08846,654,-1,338,408,-1
DB08846,5355,1,338,3146,1
DB08846,7019,-1,338,4196,-1
DB08846,467,1,338,298,1
DB08846,9013,-1,338,5162,-1
DB08846,1728,1,338,1083,1
DB08846,429,1,338,284,1
DB08846,4826,1,338,2802,1
DB08846,4735,1,338,2749,1
DB08846,929,-1,338,592,-1
DB08846,3487,-1,338,2065,-1
DB08846,440,1,338,290,1
DB08846,6649,-1,338,3979,-1
DB08846,836,-1,338,532,-1
DB08846,3553,-1,338,2079,-1
DB08846,9516,1,338,5472,1
DB08846,5764,-1,338,3422,-1
DB08846,317,-1,338,195,-1
DB08846,3554,-1,338,2080,-1
DB08846,7453,1,338,4475,1
DB08846,1676,-1,338,1071,-1
DB08846,23531,1,338,7233,1
DB08846,2145,1,338,1347,1
DB08846,3485,1,338,2063,1
DB08846,6319,-1,338,3744,-1
DB08846,10379,1,338,6093,1
DB08846,2060,1,338,1301,1
DB08846,55,1,338,40,1
DB08846,7704,-1,338,4566,-1
DB08846,1877,1,338,1185,1
DB08846,9474,1,338,5447,1
DB08846,5592,-1,338,3294,-1
DB08846,1960,-1,338,1225,-1
DB08846,5371,-1,338,3158,-1
DB08846,2260,-1,338,1425,-1
DB08846,7040,1,338,4214,1
DB08846,811,-1,338,510,-1
DB08846,1616,-1,338,1029,-1
DB08846,2968,1,338,1779,1
DB08846,354,-1,338,227,-1
DB08846,2033,1,338,1276,1
DB08846,2961,1,338,1774,1
DB08846,10528,-1,338,6207,-1
DB08846,2941,1,338,1759,1
DB08846,4130,-1,338,2463,-1
DB08846,6774,-1,338,4066,-1
DB08846,8434,1,338,4795,1
DB08846,1543,-1,338,982,-1
DB08846,3725,-1,338,2210,-1
DB08846,2316,-1,338,1462,-1
DB08846,836,-1,338,532,-1
DB08846,7375,-1,338,4427,-1
DB08846,6938,1,338,4167,1
DB08846,6774,-1,338,4066,-1
DB08846,4862,1,338,2829,1
DB08846,4791,-1,338,2778,-1
DB01919,56890,-1,246,9219,-1
DB01919,56033,1,246,9147,1
DB01919,8369,-1,246,4770,-1
DB01919,478,1,246,307,1
DB01919,51702,1,246,8326,1
DB01919,25797,1,246,7367,1
DB01919,3569,1,246,2093,1
DB01919,4884,1,246,2841,1
DB01919,10855,1,246,6410,1
DB01919,6785,1,246,4076,1
DB01919,64137,1,246,9596,1
DB01919,3784,1,246,2251,1
DB01919,79068,-1,246,9819,-1
DB01919,1475,1,246,940,1
DB01919,7157,-1,246,4304,-1
DB01919,84288,-1,246,10466,-1
DB01919,4501,1,246,2621,1
DB01919,51440,1,246,8227,1
DB01919,1013,1,246,660,1
DB01919,64799,-1,246,9700,-1
DB01919,3823,-1,246,2275,-1
DB01919,10892,-1,246,6432,-1
DB01919,25907,1,246,7428,1
DB01919,150726,1,246,10748,1
DB01919,2898,-1,246,1728,-1
DB01919,78986,1,246,9778,1
DB01919,285203,-1,246,10890,-1
DB01919,23327,-1,246,7098,-1
DB01919,63928,1,246,9550,1
DB01919,4953,1,246,2885,1
DB01919,753,1,246,473,1
DB01919,5630,1,246,3326,1
DB01919,4486,1,246,2613,1
DB01919,3115,1,246,1876,1
DB01919,84951,1,246,10512,1
DB01919,57337,-1,246,9358,-1
DB01919,55691,-1,246,9001,-1
DB01919,4811,1,246,2794,1
DB01919,83478,-1,246,10413,-1
DB01919,309,1,246,188,1
DB01919,10302,-1,246,6055,-1
DB01919,1364,1,246,863,1
DB01919,79412,1,246,9884,1
DB01919,3748,1,246,2222,1
DB01919,26953,-1,246,7625,-1
DB01919,2045,-1,246,1287,-1
DB01919,3778,1,246,2245,1
DB01919,79722,1,246,9988,1
DB01919,3429,1,246,2039,1
DB01919,2628,1,246,1569,1
DB01919,154,1,246,96,1
DB01919,5650,1,246,3337,1
DB01919,8837,-1,246,5068,-1
DB01919,1612,-1,246,1026,-1
DB01919,112479,-1,246,10619,-1
DB01919,7852,1,246,4626,1
DB01919,79983,-1,246,10157,-1
DB01919,360,-1,246,233,-1
DB01919,5729,-1,246,3401,-1
DB01919,219699,1,246,10822,1
DB01919,79846,-1,246,10077,-1
DB01919,8406,1,246,4780,1
DB01919,885,1,246,561,1
DB01919,6309,-1,246,3739,-1
DB01919,11113,-1,246,6577,-1
DB01919,10647,1,246,6298,1
DB01919,28986,1,246,7793,1
DB01919,3357,-1,246,2007,-1
DB01919,26190,-1,246,7542,-1
DB01919,54507,1,246,8449,1
DB01919,762,1,246,480,1
DB01919,440,1,246,290,1
DB01919,4868,1,246,2833,1
DB01919,55801,-1,246,9075,-1
DB01919,3547,1,246,2074,1
DB01919,55740,-1,246,9034,-1
DB01919,9636,1,246,5553,1
DB01919,7551,-1,246,4526,-1
DB01919,8744,1,246,5006,1
DB01919,80195,-1,246,10225,-1
DB01919,5577,1,246,3280,1
DB01919,177,-1,246,110,-1
DB01919,7062,1,246,4233,1
DB01919,89795,1,246,10533,1
DB01919,115207,1,246,10650,1
DB01919,467,1,246,298,1
DB01919,80830,-1,246,10310,-1
DB01919,6196,1,246,3669,1
DB01919,2797,1,246,1664,1
DB01919,79152,1,246,9850,1
DB01919,822,1,246,519,1
DB01919,482,1,246,309,1
DB01919,348,1,246,223,1
DB01919,51303,1,246,8157,1
DB01919,1969,1,246,1232,1
DB01919,6253,1,246,3703,1
DB01919,5828,-1,246,3464,-1
DB01919,5880,1,246,3494,1
DB01919,408,-1,246,272,-1
DB01919,81847,-1,246,10378,-1
DB01919,9824,-1,246,5698,-1
DB01919,92815,-1,246,10594,-1
DB01919,6347,1,246,3763,1
DB01919,9971,-1,246,5812,-1
DB01919,27239,1,246,7707,1
DB01919,9473,1,246,5446,1
DB01919,92104,-1,246,10583,-1
DB01919,79800,-1,246,10041,-1
DB01919,25960,1,246,7447,1
DB01919,1081,1,246,706,1
DB01919,6354,1,246,3766,1
DB01919,64795,-1,246,9698,-1
DB01919,8788,1,246,5029,1
DB01919,29799,-1,246,7853,-1
DB01919,1848,1,246,1169,1
DB01919,56301,1,246,9180,1
DB01919,7018,-1,246,4195,-1
DB01919,80328,1,246,10274,1
DB01919,25769,1,246,7353,1
DB01919,7404,-1,246,4444,-1
DB01919,51123,-1,246,8062,-1
DB01919,9400,-1,246,5398,-1
DB01919,2330,-1,246,1474,-1
DB01919,151,1,246,93,1
DB01919,1356,-1,246,857,-1
DB01919,2804,-1,246,1671,-1
DB01919,79768,-1,246,10022,-1
DB01919,58495,1,246,9458,1
DB01919,9610,1,246,5538,1
DB01919,1852,1,246,1172,1
DB01919,23676,-1,246,7314,-1
DB01919,1178,1,246,761,1
DB01919,51200,1,246,8108,1
DB01919,30009,1,246,7919,1
DB01919,3805,-1,246,2266,-1
DB01919,2252,-1,246,1419,-1
DB01919,5521,1,246,3244,1
DB01919,25984,1,246,7458,1
DB01919,6624,1,246,3959,1
DB01919,525,-1,246,333,-1
DB01919,3780,1,246,2247,1
DB01919,1436,1,246,912,1
DB01919,55521,1,246,8921,1
DB01919,25862,-1,246,7407,-1
DB01919,4313,1,246,2566,1
DB01919,3134,1,246,1885,1
DB01919,3268,-1,246,1965,-1
DB01919,58528,1,246,9467,1
DB01919,54816,-1,246,8535,-1
DB01919,80303,1,246,10264,1
DB01919,10148,1,246,5930,1
DB01919,8785,1,246,5026,1
DB01919,29123,-1,246,7838,-1
DB01919,10677,-1,246,6320,-1
DB01919,26038,1,246,7489,1
DB01919,2637,1,246,1574,1
DB01919,6506,1,246,3870,1
DB01919,8243,-1,246,4728,-1
DB01919,10716,1,246,6336,1
DB01919,199731,1,246,10798,1
DB01919,3026,-1,246,1816,-1
DB01919,5028,1,246,2923,1
DB01919,597,1,246,373,1
DB01919,79366,1,246,9878,1
DB01919,10499,-1,246,6188,-1
DB01919,26468,1,246,7584,1
DB01919,9477,-1,246,5449,-1
DB01919,7761,-1,246,4590,-1
DB01919,9563,-1,246,5508,-1
DB01919,643,-1,246,399,-1
DB01919,10656,1,246,6305,1
DB01919,9435,1,246,5418,1
DB01919,23348,-1,246,7112,-1
DB01919,22849,-1,246,6750,-1
DB01919,5420,1,246,3176,1
DB01919,54550,-1,246,8469,-1
DB01919,2781,1,246,1651,1
DB01919,27074,1,246,7656,1
DB01919,9856,-1,246,5723,-1
DB01919,57209,-1,246,9346,-1
DB01919,5270,1,246,3080,1
DB01919,3426,-1,246,2037,-1
DB01919,3587,1,246,2104,1
DB01919,4155,-1,246,2483,-1
DB01919,5829,1,246,3465,1
DB01919,3897,1,246,2315,1
DB01919,140461,-1,246,10711,-1
DB01919,9499,1,246,5461,1
DB01919,79583,-1,246,9900,-1
DB01919,3955,1,246,2350,1
DB01919,11160,-1,246,6610,-1
DB01919,1117,-1,246,722,-1
DB01919,3149,-1,246,1893,-1
DB01919,83737,-1,246,10429,-1
DB01919,8712,1,246,4980,1
DB01919,79940,-1,246,10135,-1
DB01919,8864,-1,246,5085,-1
DB01919,684,1,246,432,1
DB01919,140803,1,246,10721,1
DB01919,4741,1,246,2753,1
DB01919,1718,-1,246,1078,-1
DB01919,2642,1,246,1578,1
DB01919,10610,-1,246,6268,-1
DB01919,51533,-1,246,8260,-1
DB01919,9659,1,246,5574,1
DB01919,55187,-1,246,8772,-1
DB01919,3196,1,246,1924,1
DB01919,9595,-1,246,5529,-1
DB01919,3166,1,246,1904,1
DB01919,8674,-1,246,4960,-1
DB01919,2316,1,246,1462,1
DB01919,9770,1,246,5658,1
DB01919,6752,1,246,4053,1
DB01919,130,-1,246,79,-1
DB01919,1917,1,246,1204,1
DB01919,3687,1,246,2181,1
DB01919,4185,1,246,2499,1
DB01919,4675,1,246,2702,1
DB01919,26249,-1,246,7558,-1
DB01919,3231,1,246,1949,1
DB01919,79364,-1,246,9876,-1
DB01919,7095,-1,246,4261,-1
DB01919,716,-1,246,449,-1
DB01919,2266,-1,246,1430,-1
DB01919,8493,1,246,4834,1
DB01919,2921,1,246,1746,1
DB01919,9982,1,246,5819,1
DB01919,23237,1,246,7028,1
DB01919,53335,1,246,8357,1
DB01919,54762,1,246,8509,1
DB01919,22795,1,246,6721,1
DB01919,192670,-1,246,10790,-1
DB01919,138050,-1,246,10705,-1
DB01919,10186,1,246,5960,1
DB01919,8529,1,246,4864,1
DB01919,5562,1,246,3269,1
DB01919,7462,1,246,4480,1
DB01919,4861,1,246,2828,1
DB01919,8654,1,246,4945,1
DB01919,5029,1,246,2924,1
DB01919,146909,-1,246,10734,-1
DB01919,1512,1,246,964,1
DB01919,9617,-1,246,5542,-1
DB01919,1381,1,246,875,1
DB01919,2998,-1,246,1798,-1
DB01919,9187,-1,246,5275,-1
DB01919,29923,-1,246,7878,-1
DB01919,23406,1,246,7159,1
DB01919,57718,1,246,9425,1
DB01919,57110,1,246,9305,1
DB01919,9244,1,246,5308,1
DB01919,79929,1,246,10129,1
DB01919,3250,-1,246,1959,-1
DB01919,6926,1,246,4159,1
DB01919,11247,1,246,6662,1
DB01919,1043,1,246,684,1
DB01919,11083,-1,246,6564,-1
DB01919,29121,-1,246,7837,-1
DB01919,11064,-1,246,6547,-1
DB01919,55810,-1,246,9079,-1
DB01919,10023,-1,246,5848,-1
DB01919,3570,-1,246,2094,-1
DB01919,4324,1,246,2576,1
DB01919,7421,1,246,4457,1
DB01919,27300,1,246,7731,1
DB01919,2919,1,246,1744,1
DB01919,4761,1,246,2763,1
DB01919,9794,-1,246,5678,-1
DB01919,79365,1,246,9877,1
DB01919,23041,-1,246,6880,-1
DB01919,6535,1,246,3892,1
DB01919,23057,1,246,6891,1
DB01919,472,-1,246,301,-1
DB01919,8537,-1,246,4871,-1
DB01919,22852,-1,246,6752,-1
DB01919,1305,1,246,831,1
DB01919,4920,1,246,2865,1
DB01919,18,1,246,7,1
DB01919,316,1,246,194,1
DB01919,1365,1,246,864,1
DB01919,3176,-1,246,1910,-1
DB01919,140545,-1,246,10715,-1
DB01919,4248,1,246,2535,1
DB01919,23392,-1,246,7147,-1
DB01919,27345,1,246,7753,1
DB01919,56145,1,246,9159,1
DB01919,8913,1,246,5124,1
DB01919,8605,1,246,4909,1
DB01919,970,1,246,626,1
DB01919,7080,1,246,4248,1
DB01919,26528,-1,246,7605,-1
DB01919,57326,-1,246,9354,-1
DB01919,51083,1,246,8034,1
DB01919,3866,1,246,2302,1
DB01919,11120,1,246,6582,1
DB01919,57157,-1,246,9330,-1
DB01919,57863,1,246,9446,1
DB01919,1316,-1,246,839,-1
DB01919,51700,1,246,8324,1
DB01919,8638,1,246,4932,1
DB01919,284217,1,246,10883,1
DB01919,5174,-1,246,3021,-1
DB01919,90141,-1,246,10541,-1
DB01919,29802,1,246,7854,1
DB01919,4661,1,246,2692,1
DB01919,6364,1,246,3774,1
DB01919,3732,1,246,2215,1
DB01919,441024,-1,246,10968,-1
DB01919,5346,-1,246,3138,-1
DB01919,6546,1,246,3900,1
DB01919,4983,-1,246,2897,-1
DB01919,26512,-1,246,7598,-1
DB01919,79441,-1,246,9887,-1
DB01919,80329,1,246,10275,1
DB01919,50717,-1,246,7964,-1
DB01919,213,-1,246,132,-1
DB01919,4162,1,246,2488,1
DB01919,9783,1,246,5670,1
DB01919,3486,-1,246,2064,-1
DB01919,5602,-1,246,3304,-1
DB01919,5317,-1,246,3115,-1
DB01919,3604,1,246,2118,1
DB01919,55110,-1,246,8718,-1
DB01919,59272,1,246,9474,1
DB01919,974,1,246,630,1
DB01919,1647,1,246,1051,1
DB01919,10750,-1,246,6359,-1
DB01919,6653,1,246,3983,1
DB01919,7168,1,246,4314,1
DB01919,7425,1,246,4461,1
DB01919,4118,1,246,2454,1
DB01919,8787,1,246,5028,1
DB01919,9201,1,246,5283,1
DB01919,22834,-1,246,6738,-1
DB01919,10021,1,246,5847,1
DB01919,140290,-1,246,10708,-1
DB01919,2674,1,246,1597,1
DB01919,64375,-1,246,9630,-1
DB01919,5271,1,246,3081,1
DB01919,23554,1,246,7248,1
DB01919,3755,1,246,2228,1
DB01919,84159,-1,246,10451,-1
DB01919,2983,1,246,1789,1
DB01919,26052,1,246,7498,1
DB01919,79012,1,246,9795,1
DB01919,7481,1,246,4492,1
DB01919,79772,1,246,10024,1
DB01919,6352,1,246,3765,1
DB01919,22875,1,246,6771,1
DB01919,51450,1,246,8233,1
DB01919,347733,1,246,10914,1
DB01919,925,1,246,589,1
DB01919,8728,1,246,4992,1
DB01919,9355,1,246,5368,1
DB01919,26040,-1,246,7491,-1
DB01919,1911,-1,246,1201,-1
DB01919,11182,1,246,6627,1
DB01919,26353,1,246,7581,1
DB01919,5156,1,246,3007,1
DB01919,8477,1,246,4823,1
DB01919,55779,-1,246,9063,-1
DB01919,81571,-1,246,10345,-1
DB01919,2775,1,246,1648,1
DB01919,64940,-1,246,9728,-1
DB01919,4794,1,246,2781,1
DB01919,10501,1,246,6190,1
DB01919,398,1,246,264,1
DB01919,27306,1,246,7735,1
DB01919,3800,1,246,2262,1
DB01919,85352,1,246,10521,1
DB01919,4900,1,246,2853,1
DB01919,56475,1,246,9186,1
DB01919,55679,1,246,8992,1
DB01919,4843,1,246,2814,1
DB01919,9975,-1,246,5815,-1
DB01919,7124,1,246,4282,1
DB01919,8817,1,246,5052,1
DB01919,11240,1,246,6659,1
DB01919,23596,-1,246,7273,-1
DB01919,1136,1,246,737,1
DB01919,9518,1,246,5474,1
DB01919,50649,1,246,7960,1
DB01919,9672,1,246,5582,1
DB01919,7128,1,246,4286,1
DB01919,3885,1,246,2310,1
DB01919,6004,1,246,3587,1
DB01919,57338,1,246,9359,1
DB01919,7262,1,246,4352,1
DB01919,3394,1,246,2023,1
DB01919,4599,1,246,2648,1
DB01919,10154,-1,246,5936,-1
DB01919,11037,1,246,6530,1
DB01919,27128,1,246,7679,1
DB01919,5075,1,246,2950,1
DB01919,10144,-1,246,5927,-1
DB01919,2822,-1,246,1681,-1
DB01919,10846,-1,246,6407,-1
DB01919,52,-1,246,37,-1
DB01919,10325,-1,246,6069,-1
DB01919,79047,-1,246,9809,-1
DB01919,29890,-1,246,7866,-1
DB01919,22986,-1,246,6841,-1
DB01919,6666,-1,246,3995,-1
DB01919,23764,1,246,7329,1
DB01919,9436,1,246,5419,1
DB01919,6819,-1,246,4094,-1
DB01919,9968,-1,246,5809,-1
DB01919,6915,1,246,4154,1
DB01919,2153,-1,246,1354,-1
DB01919,79632,1,246,9928,1
DB01919,23303,-1,246,7079,-1
DB01919,90865,1,246,10557,1
DB01919,116496,1,246,10658,1
DB01919,868,-1,246,555,-1
DB01919,4856,1,246,2824,1
DB01919,23091,-1,246,6915,-1
DB01919,575,1,246,357,1
DB01919,11248,1,246,6663,1
DB01919,3757,1,246,2230,1
DB01919,4804,1,246,2790,1
DB01919,79861,1,246,10086,1
DB01919,1116,1,246,721,1
DB01919,7498,1,246,4498,1
DB01919,125893,1,246,10679,1
DB01919,5329,1,246,3126,1
DB01919,79810,-1,246,10048,-1
DB01919,1400,1,246,892,1
DB01919,9586,1,246,5523,1
DB01919,55384,1,246,8900,1
DB01919,25876,-1,246,7413,-1
DB01919,8534,1,246,4868,1
DB01919,768,-1,246,485,-1
DB01919,79924,1,246,10128,1
DB01919,4703,-1,246,2727,-1
DB01919,55026,1,246,8666,1
DB01919,10761,1,246,6364,1
DB01919,4277,1,246,2545,1
DB01919,84253,-1,246,10461,-1
